Date,HomeTeam,AwayTeam,FTHG,FTAG,GD,HST,AST,B365H,B365D,B365A,FTR
08/11/2020,Levante,Alaves,1,1,0,5,2,2.15,3.4,3.4,D
08/11/2020,Valladolid,Ath Bilbao,2,1,1,4,2,3.3,2.9,2.37,H
08/11/2020,Valencia,Real Madrid,4,1,3,4,6,6.0,4.75,1.45,H
20/11/2020,Osasuna,Huesca,1,1,0,7,5,2.4,3.0,3.25,D
21/11/2020,Levante,Elche,1,1,0,5,5,1.57,4.0,5.75,D
21/11/2020,Villarreal,Real Madrid,1,1,0,1,1,2.87,3.8,2.25,D
21/11/2020,Sevilla,Celta,4,2,2,10,7,1.72,3.6,5.25,H
21/11/2020,Ath Madrid,Barcelona,1,0,1,2,4,2.9,3.5,2.37,H
22/11/2020,Eibar,Getafe,0,0,0,5,3,3.4,3.0,2.35,D
22/11/2020,Cadiz,Sociedad,0,1,-1,0,4,4.0,3.8,1.85,A
22/11/2020,Granada,Valladolid,1,3,-2,6,3,2.1,3.2,3.8,A
22/11/2020,Alaves,Valencia,2,2,0,3,5,2.7,3.2,2.8,D
23/11/2020,Ath Bilbao,Betis,4,0,4,9,1,2.2,3.3,3.4,H
27/11/2020,Valladolid,Levante,1,1,0,4,3,2.55,3.3,2.8,D
28/11/2020,Elche,Cadiz,1,1,0,3,2,3.2,3.0,2.45,D
28/11/2020,Valencia,Ath Madrid,0,1,-1,2,6,4.75,3.8,1.72,A
28/11/2020,Huesca,Sevilla,0,1,-1,1,4,4.0,3.3,2.0,A
28/11/2020,Real Madrid,Alaves,1,2,-1,9,6,1.33,5.25,9.0,A
29/11/2020,Barcelona,Osasuna,4,0,4,11,5,1.25,6.0,11.0,H
29/11/2020,Getafe,Ath Bilbao,1,1,0,3,2,2.8,2.9,2.8,D
29/11/2020,Celta,Granada,3,1,2,8,2,2.0,3.5,3.75,H
29/11/2020,Sociedad,Villarreal,1,1,0,4,2,2.1,3.6,3.4,D
30/11/2020,Betis,Eibar,0,2,-2,3,6,1.75,3.75,4.5,A
04/12/2020,Ath Bilbao,Celta,0,2,-2,0,4,2.05,3.25,3.8,A
05/12/2020,Levante,Getafe,3,0,3,8,0,2.9,3.1,2.55,H
05/12/2020,Sevilla,Real Madrid,0,1,-1,2,3,2.5,3.5,2.7,A
05/12/2020,Ath Madrid,Valladolid,2,0,2,4,3,1.4,4.33,9.5,H
05/12/2020,Cadiz,Barcelona,2,1,1,3,8,8.5,5.0,1.36,H
06/12/2020,Granada,Huesca,3,3,0,6,7,2.3,3.1,3.4,D
06/12/2020,Osasuna,Betis,0,2,-2,0,5,2.62,3.3,2.7,A
06/12/2020,Villarreal,Elche,0,0,0,3,0,1.3,5.5,9.5,D
06/12/2020,Alaves,Sociedad,0,0,0,1,5,4.75,3.5,1.8,D
07/12/2020,Eibar,Valencia,0,0,0,3,4,2.45,3.1,3.1,D
11/12/2020,Valladolid,Osasuna,3,2,1,6,6,2.5,3.1,3.0,H
12/12/2020,Valencia,Ath Bilbao,2,2,0,2,5,3.25,3.1,2.35,D
12/12/2020,Getafe,Sevilla,0,1,-1,2,0,3.75,3.2,2.1,A
12/12/2020,Huesca,Alaves,1,0,1,3,1,2.2,3.2,3.5,H
12/12/2020,Real Madrid,Ath Madrid,2,0,2,3,1,2.3,3.3,3.1,H
13/12/2020,Sociedad,Eibar,1,1,0,2,4,1.6,3.75,6.0,D
13/12/2020,Betis,Villarreal,1,1,0,5,2,3.1,3.5,2.25,D
13/12/2020,Elche,Granada,0,1,-1,1,5,3.4,3.1,2.3,A
13/12/2020,Barcelona,Levante,1,0,1,13,3,1.22,7.0,11.0,H
14/12/2020,Celta,Cadiz,4,0,4,5,2,1.72,3.6,5.25,H
15/12/2020,Real Madrid,Ath Bilbao,3,1,2,5,4,1.53,4.33,5.75,H
16/12/2020,Barcelona,Sociedad,2,1,1,4,5,1.6,4.5,5.0,H
18/12/2020,Ath Bilbao,Huesca,2,0,2,3,1,1.9,3.3,4.33,H
19/12/2020,Ath Madrid,Elche,3,1,2,6,3,1.2,6.0,19.0,H
19/12/2020,Barcelona,Valencia,2,2,0,9,4,1.3,6.0,8.5,D
19/12/2020,Levante,Sociedad,2,1,1,5,5,3.4,3.4,2.15,H
19/12/2020,Osasuna,Villarreal,1,3,-2,1,6,3.6,3.4,2.1,A
19/12/2020,Sevilla,Valladolid,1,1,0,3,5,1.53,3.75,7.5,D
20/12/2020,Celta,Alaves,2,0,2,3,2,1.7,4.0,4.75,H
20/12/2020,Granada,Betis,2,0,2,3,1,2.45,3.4,2.87,H
20/12/2020,Cadiz,Getafe,0,2,-2,1,4,3.3,2.9,2.45,A
20/12/2020,Eibar,Real Madrid,1,3,-2,3,5,6.5,4.2,1.5,A
22/12/2020,Elche,Osasuna,2,2,0,2,6,3.3,3.0,2.37,D
22/12/2020,Valencia,Sevilla,0,1,-1,4,3,3.75,3.4,2.0,A
22/12/2020,Huesca,Levante,1,1,0,2,1,2.62,3.4,2.6,D
22/12/2020,Sociedad,Ath Madrid,0,2,-2,1,3,3.3,3.2,2.25,A
22/12/2020,Valladolid,Barcelona,0,3,-3,5,10,7.0,5.4,1.36,A
22/12/2020,Villarreal,Ath Bilbao,1,1,0,6,3,2.0,3.4,3.8,D
23/12/2020,Getafe,Celta,1,1,0,3,1,2.75,3.0,2.8,D
23/12/2020,Real Madrid,Granada,2,0,2,6,1,1.33,5.25,9.0,H
23/12/2020,Alaves,Eibar,2,1,1,3,4,2.75,2.87,2.9,H
23/12/2020,Betis,Cadiz,1,0,1,1,3,1.9,3.5,4.1,H
29/12/2020,Sevilla,Villarreal,2,0,2,3,2,2.25,3.3,3.25,H
29/12/2020,Barcelona,Eibar,1,1,0,5,3,1.28,5.75,9.5,D
29/12/2020,Cadiz,Valladolid,0,0,0,3,1,2.87,2.9,2.75,D
29/12/2020,Levante,Betis,4,3,1,5,7,2.4,3.4,2.9,H
30/12/2020,Granada,Valencia,2,1,1,5,6,2.2,3.3,3.4,H
30/12/2020,Ath Madrid,Getafe,1,0,1,3,2,1.44,4.2,8.5,H
30/12/2020,Celta,Huesca,2,1,1,6,6,1.75,3.75,4.6,H
30/12/2020,Elche,Real Madrid,1,1,0,3,6,10.0,6.5,1.25,D
31/12/2020,Ath Bilbao,Sociedad,0,1,-1,0,3,3.0,3.2,2.5,A
31/12/2020,Osasuna,Alaves,1,1,0,3,1,2.35,3.25,3.1,D
02/01/2021,Villarreal,Levante,2,1,1,7,2,1.65,3.8,5.5,H
02/01/2021,Betis,Sevilla,1,1,0,3,2,3.9,3.5,1.95,D
02/01/2021,Getafe,Valladolid,0,1,-1,4,2,1.95,3.1,4.5,A
02/01/2021,Real Madrid,Celta,2,0,2,2,1,1.44,4.75,6.5,H
03/01/2021,Ath Bilbao,Elche,1,0,1,2,2,1.5,3.8,8.0,H
03/01/2021,Alaves,Ath Madrid,1,2,-1,1,4,7.0,3.75,1.53,A
03/01/2021,Eibar,Granada,2,0,2,7,3,2.37,3.0,3.3,H
03/01/2021,Sociedad,Osasuna,1,1,0,2,2,1.53,4.0,6.5,D
03/01/2021,Huesca,Barcelona,0,1,-1,4,7,6.5,4.75,1.44,A
04/01/2021,Valencia,Cadiz,1,1,0,4,2,2.0,3.4,3.75,D
06/01/2021,Ath Bilbao,Barcelona,2,3,-1,3,9,4.2,3.6,1.83,A
08/01/2021,Celta,Villarreal,0,4,-4,3,6,3.4,3.3,2.2,A
09/01/2021,Sevilla,Sociedad,3,2,1,7,4,2.2,3.1,3.6,H
09/01/2021,Granada,Barcelona,0,4,-4,4,4,6.5,5.25,1.4,A
09/01/2021,Osasuna,Real Madrid,0,0,0,2,1,6.5,4.75,1.45,D
10/01/2021,Levante,Eibar,2,1,1,2,4,2.25,3.4,3.2,H
10/01/2021,Cadiz,Alaves,3,1,2,7,2,2.7,2.9,3.0,H
10/01/2021,Valladolid,Valencia,0,1,-1,4,6,2.37,3.25,3.1,A
11/01/2021,Elche,Getafe,1,3,-2,4,7,4.33,2.9,2.1,A
11/01/2021,Huesca,Betis,0,2,-2,3,5,2.8,3.3,2.55,A
12/01/2021,Granada,Osasuna,2,0,2,2,3,2.3,3.1,3.4,H
12/01/2021,Ath Madrid,Sevilla,2,0,2,4,2,1.9,3.2,4.5,H
19/01/2021,Cadiz,Levante,2,2,0,2,5,2.9,3.1,2.55,D
19/01/2021,Valladolid,Elche,2,2,0,2,3,1.83,3.4,4.6,D
19/01/2021,Alaves,Sevilla,1,2,-1,3,3,5.5,3.6,1.66,A
20/01/2021,Getafe,Huesca,1,0,1,5,3,1.9,3.25,4.5,H
20/01/2021,Betis,Celta,2,1,1,4,3,2.1,3.5,3.4,H
20/01/2021,Villarreal,Granada,2,2,0,3,2,1.5,4.0,7.0,D
21/01/2021,Valencia,Osasuna,1,1,0,3,5,2.05,3.5,3.5,D
21/01/2021,Eibar,Ath Madrid,1,2,-1,2,4,6.5,3.4,1.66,A
22/01/2021,Levante,Valladolid,2,2,0,3,3,1.95,3.4,4.0,D
23/01/2021,Huesca,Villarreal,0,0,0,1,2,4.33,3.75,1.8,D
23/01/2021,Sevilla,Cadiz,3,0,3,7,3,1.45,4.2,8.0,H
23/01/2021,Sociedad,Betis,2,2,0,6,4,1.8,3.75,4.33,D
23/01/2021,Alaves,Real Madrid,1,4,-3,4,7,5.5,4.33,1.55,A
24/01/2021,Osasuna,Granada,3,1,2,4,1,2.5,3.1,3.0,H
24/01/2021,Elche,Barcelona,0,2,-2,2,8,8.0,5.25,1.36,A
24/01/2021,Celta,Eibar,1,1,0,4,2,2.05,3.4,3.75,D
24/01/2021,Ath Madrid,Valencia,3,1,2,5,4,1.4,4.75,8.0,H
25/01/2021,Ath Bilbao,Getafe,5,1,4,8,2,2.3,3.0,3.6,H
29/01/2021,Valladolid,Huesca,1,3,-2,4,5,2.2,3.1,3.6,A
30/01/2021,Eibar,Sevilla,0,2,-2,6,4,4.0,3.25,2.0,A
30/01/2021,Real Madrid,Levante,1,2,-1,2,8,1.33,5.5,8.0,A
30/01/2021,Valencia,Elche,1,0,1,4,1,1.66,3.75,5.5,H
30/01/2021,Villarreal,Sociedad,1,1,0,2,3,2.4,3.2,3.1,D
31/01/2021,Getafe,Alaves,0,0,0,1,1,1.9,3.2,4.5,D
31/01/2021,Cadiz,Ath Madrid,2,4,-2,6,4,9.0,4.0,1.44,A
31/01/2021,Granada,Celta,0,0,0,5,1,2.7,3.3,2.62,D
