Date,HomeTeam,AwayTeam,FTHG,FTAG,GD,HST,AST,B365H,B365D,B365A,FTR
29/11/2020,Napoli,Roma,4.0,0.0,4.0,9.0,1.0,2.1,3.8,3.1,H
30/11/2020,Torino,Sampdoria,2.0,2.0,0.0,8.0,2.0,2.5,3.5,2.75,D
30/11/2020,Genoa,Parma,1.0,2.0,-1.0,5.0,3.0,2.62,3.5,2.62,A
05/12/2020,Spezia,Lazio,1.0,2.0,-1.0,6.0,2.0,5.0,3.9,1.66,A
05/12/2020,Juventus,Torino,2.0,1.0,1.0,5.0,2.0,1.4,5.0,7.0,H
05/12/2020,Inter,Bologna,3.0,1.0,2.0,9.0,7.0,1.45,4.75,6.5,H
06/12/2020,Verona,Cagliari,1.0,1.0,0.0,6.0,5.0,1.95,3.6,3.75,D
06/12/2020,Parma,Benevento,0.0,0.0,0.0,0.0,4.0,2.1,3.6,3.4,D
06/12/2020,Roma,Sassuolo,0.0,0.0,0.0,5.0,2.0,1.66,4.33,4.5,D
06/12/2020,Crotone,Napoli,0.0,4.0,-4.0,1.0,6.0,7.5,5.25,1.36,A
06/12/2020,Sampdoria,Milan,1.0,2.0,-1.0,3.0,6.0,4.5,4.0,1.72,A
07/12/2020,Fiorentina,Genoa,1.0,1.0,0.0,8.0,3.0,1.72,4.0,4.5,D
11/12/2020,Sassuolo,Benevento,1.0,0.0,1.0,2.0,7.0,1.65,4.2,4.75,H
12/12/2020,Crotone,Spezia,4.0,1.0,3.0,7.0,5.0,2.5,3.5,2.7,H
12/12/2020,Torino,Udinese,2.0,3.0,-1.0,5.0,3.0,2.9,3.25,2.5,A
12/12/2020,Lazio,Verona,1.0,2.0,-1.0,5.0,3.0,1.65,4.0,5.0,A
13/12/2020,Cagliari,Inter,1.0,3.0,-2.0,2.0,11.0,7.5,5.25,1.36,A
13/12/2020,Atalanta,Fiorentina,3.0,0.0,3.0,10.0,2.0,1.66,4.33,4.5,H
13/12/2020,Bologna,Roma,1.0,5.0,-4.0,1.0,8.0,3.5,3.8,2.0,A
13/12/2020,Napoli,Sampdoria,2.0,1.0,1.0,8.0,3.0,1.4,5.0,7.5,H
13/12/2020,Genoa,Juventus,1.0,3.0,-2.0,2.0,9.0,9.0,5.25,1.33,A
13/12/2020,Milan,Parma,2.0,2.0,0.0,10.0,3.0,1.3,5.75,9.0,D
15/12/2020,Udinese,Crotone,0.0,0.0,0.0,6.0,2.0,1.6,3.9,5.75,D
15/12/2020,Benevento,Lazio,1.0,1.0,0.0,6.0,3.0,4.5,3.8,1.75,D
16/12/2020,Juventus,Atalanta,1.0,1.0,0.0,7.0,6.0,1.85,3.9,3.9,D
16/12/2020,Fiorentina,Sassuolo,1.0,1.0,0.0,7.0,7.0,2.4,3.5,2.87,D
16/12/2020,Genoa,Milan,2.0,2.0,0.0,4.0,4.0,7.5,4.75,1.4,D
16/12/2020,Inter,Napoli,1.0,0.0,1.0,2.0,5.0,2.2,3.5,3.2,H
16/12/2020,Parma,Cagliari,0.0,0.0,0.0,3.0,4.0,2.3,3.4,3.1,D
16/12/2020,Spezia,Bologna,2.0,2.0,0.0,5.0,6.0,3.1,3.5,2.2,D
16/12/2020,Verona,Sampdoria,1.0,2.0,-1.0,6.0,3.0,2.15,3.5,3.2,A
17/12/2020,Roma,Torino,3.0,1.0,2.0,8.0,8.0,1.4,5.0,6.5,H
19/12/2020,Fiorentina,Verona,1.0,1.0,0.0,1.0,3.0,2.1,3.5,3.4,D
19/12/2020,Sampdoria,Crotone,3.0,1.0,2.0,4.0,3.0,1.83,3.7,4.33,H
19/12/2020,Parma,Juventus,0.0,4.0,-4.0,5.0,7.0,8.5,5.25,1.33,A
