Date,HomeTeam,AwayTeam,FTHG,FTAG,GD,HST,AST,B365H,B365D,B365A,FTR
19/01/2021,Hertha,Hoffenheim,0,3,-3,2,6,2.25,3.5,3.1,A
19/01/2021,Leverkusen,Dortmund,2,1,1,13,3,3.1,3.8,2.15,H
19/01/2021,Mainz,Wolfsburg,0,2,-2,0,2,4.0,4.0,1.8,A
20/01/2021,Schalke 04,FC Koln,1,2,-1,8,4,2.55,3.3,2.75,A
20/01/2021,Augsburg,Bayern Munich,0,1,-1,0,4,13.0,7.0,1.2,A
20/01/2021,Bielefeld,Stuttgart,3,0,3,3,3,4.33,3.9,1.75,H
20/01/2021,Freiburg,Ein Frankfurt,2,2,0,4,4,2.9,3.5,2.37,D
20/01/2021,RB Leipzig,Union Berlin,1,0,1,5,1,1.5,4.33,7.0,H
22/01/2021,M'gladbach,Dortmund,4,2,2,7,7,3.3,3.75,2.1,H
23/01/2021,Augsburg,Union Berlin,2,1,1,4,5,3.75,3.4,2.05,H
23/01/2021,Bielefeld,Ein Frankfurt,1,5,-4,4,8,4.75,3.8,1.75,A
23/01/2021,Freiburg,Stuttgart,2,1,1,4,11,2.62,3.75,2.5,H
23/01/2021,Leverkusen,Wolfsburg,0,1,-1,4,4,2.05,3.6,3.5,A
23/01/2021,Mainz,RB Leipzig,3,2,1,4,5,7.5,5.0,1.36,H
23/01/2021,Hertha,Werder Bremen,1,4,-3,10,5,2.1,3.5,3.6,A
24/01/2021,Schalke 04,Bayern Munich,0,4,-4,4,14,16.0,8.5,1.14,A
24/01/2021,Hoffenheim,FC Koln,3,0,3,4,4,1.75,3.75,4.5,H
29/01/2021,Stuttgart,Mainz,2,0,2,3,2,1.61,4.0,5.0,H
30/01/2021,Bayern Munich,Hoffenheim,4,1,3,9,5,1.2,8.0,11.0,H
30/01/2021,Dortmund,Augsburg,3,1,2,5,1,1.25,6.5,9.0,H
30/01/2021,Ein Frankfurt,Hertha,3,1,2,8,4,1.75,3.8,4.5,H
30/01/2021,Union Berlin,M'gladbach,1,1,0,3,4,3.2,3.4,2.25,D
30/01/2021,Werder Bremen,Schalke 04,1,1,0,6,1,1.9,3.5,4.0,D
30/01/2021,RB Leipzig,Leverkusen,1,0,1,2,4,1.9,3.6,4.0,H
31/01/2021,FC Koln,Bielefeld,3,1,2,7,3,2.25,3.4,3.2,H
31/01/2021,Wolfsburg,Freiburg,3,0,3,6,2,1.85,3.8,4.0,H
05/02/2021,Hertha,Bayern Munich,0,1,-1,7,7,7.0,5.75,1.36,A
06/02/2021,Augsburg,Wolfsburg,0,2,-2,1,9,4.75,3.6,1.75,A
06/02/2021,Freiburg,Dortmund,2,1,1,3,5,5.25,4.33,1.57,H
06/02/2021,Leverkusen,Stuttgart,5,2,3,11,7,2.0,3.75,3.5,H
06/02/2021,Mainz,Union Berlin,1,0,1,5,3,3.3,3.4,2.2,H
